"General Settings","Generelle indstillinger"
"Specific client groups","Specifikke kundegrupper"
"Define which client groups are allowed to make use of this portfolio.","Definer, hvilke kundegrupper som må bruge denne portefølje."
"Only available if 'Allowed Client groups' is set to 'specific client groups'.","Kun til rådighed, hvis “Tilladte kundegrupper” er indstillet til “Specifikke kundegrupper”."
"All allowed client groups","Alle tilladte kundegrupper"
"Not allowed by shipping methods", "Ikke tilladt efter forsendelsesmetode"
"Select all the shipping methods where the AfterPay module should NOT be allowed for.", "Vælg alle de forsendelsesmetoder, som AfterPay-modulet IKKE er tilladt for."
"Use CTRL + mouseclick to select multiple entries.","Brug CTRL + klik med mus til at vælge flere poster."
"Sort order","Sortér ordre"
"This value will determine in what order the portfolio's will appear to the customer","Værdien bestemmer rækkefølgen for de porteføljer, som kunden kan se"
"I have read and accepted the AfterPay %sTerms and Conditions%s.","Jeg har læst og accepterer %sBetingelser og vilkår%s af AfterPay."

"Capture Settings","Indstillinger for gem"
"Capture Mode","Tilstanden gem"
"Disabled", "Slået fra"
"Automatic", "Automatisk"
"Manual", "Manuel"
"Select whether AfterPay will automatically attempt to capture the order or if the module should manually attempt to capture the order.","Vælg, om AfterPay automatisk skal forsøge at gemme ordren, eller om modulet skal forsøge at gemme ordren manuelt."
"Status Capture Request Accepted","Statussen anmodning om gem accepteret"
"Status Capture Request Refused","Statussen anmodning om gem afvist"

"Refund Settings","Indstillinger for tilbagebetaling"
"Enable refunding","Slå tilbagebetaling til"
"If you set this to 'No', you will only ber able to perform offline refunds on AfterPay transactions","Hvis den er indstillet til “Nej”, vil du kun kunne foretage tilbagebetalinger offline i AfterPay-transaktioner"

"Gender:","Køn:"
"Please select.","Vælg."
"Male","Mand"
"Female","Kvinde"
"Date of Birth","Fødselsdato"
"YYYY","ÅÅÅÅ"
"Bank account number:","Bankkontonummer:"
"Company name:","Virksomhedsnavn:"
"Coc number:","Certificeringsnummer:"
"E-mail:","E-mail"
"Phone number", "Telefonnummer"

"Unable to capture this invoice","Kan ikke gemme fakturaen"
"Can only capture full invoices. Partial invoices cannot be captured by AfterPay.","Kan kun gemme hele fakturaer. AfterPay kan ikke gemme delvise fakturaer."
"Tax classes may not be selected for more than 1 VAT group","Man kan ikke vælge skatteklasser for mere end én momsgruppe"
"You cannot refund a larger amount than is available. Maximum Payment Fee available for refund: ","Man kan ikke tilbagebetale et større beløb, end hvad der er til rådighed. Maksimalt betalingsgebyr til tilbagebetaling: "
"An error occurred while processing your refund request: ","Der opstod en fejl under behandlingen af tilbagebetalingsanmodningen: "
"An error occurred while processing your refund request.","Der opstod en fejl under behandlingen af tilbagebetalingsanmodningen."
"Refund action is not available.","Handlingen tilbagebetaling er ikke til rådighed."
"An error occurred while processing your refund request: ","Der opstod en fejl under behandlingen af tilbagebetalingsanmodningen: "
"An error occurred while processing your refund request.","Der opstod en fejl under behandlingen af tilbagebetalingsanmodningen."
"Did not recognize tax class for class ID: ","genkender ikke skatteklasse for klasse-id: "
"This order has already been captured by AfterPay.","Ordren er allerede blevet gemt af AfterPay."
"Online refunding is disabled. Please us offline refunding or enable online refunding in the config.","Onlinetilbagebetaling er slået fra. Du skal bruge offlinetilbagebetaling eller slå onlinetilbagebetaling til i konfigurationen."
"This order has not yet been captured by AfterPay.","Ordren er endnu ikke blevet gemt af AfterPay."
"No response was available","Der var ingen svar"
"Your order has been placed succesfully.","Ordren blev afgivet."
"Your order was unsuccesful. Please try again or choose another payment method.","Ordren blev ikke afgivet. Prøv igen, eller vælg en anden betalingsmetode."
"This order is awaiting final approval. You will receive an update regarding the status of this order shortly. If you do not receive an update about the status of this order, please contact the webshop's owner.","Ordren afventer endelig godkendelse. Du modtager en opdatering om ordrens status om ikke så længe. Hvis du ikke modtager en opdatering om ordrens status, skal du kontakte ejeren af webbutikken."
"A technical error has occurred. Please try again. If this problem persists, please contact the shop owner.","Der er opstået en teknisk fejl. Prøv igen. Hvis problemet vedbliver, skal du kontakte butiksejeren."
"Your order has been placed succesfully. You will recieve an e-mail containing further payment instructions shortly.","Ordren blev afgivet. Du modtager snart en e-mail med yderligere betalingsanvisninger."
"One or more fields you have entered appear to be incorrect. Please check all values entered and try again.","Et eller flere af de felter, du har indtastet i, er forkerte. Kontroller de indtastede værdier, og prøv igen."
"A technical error has occurred. Please contact the shop owner.","Der er opstået en teknisk fejl. Kontakt butiksejeren."
"This order has been accepted by AfterPay.","Ordren er blevet accepteret af AfterPay."
"This order has been captured by AfterPay","Ordren er blevet gemt af AfterPay."
"AfterPay is currently unable to capture this invoice.","AfterPay kan i øjeblikket ikke gemme fakturaen."
"AfterPay capture attempt has failed","AfterPay kunne ikke gemme"
"AfterPay capture attempt has failed","AfterPay kunne ikke gemme"
"Could not verify the authenticity of the capture response.","Kunne ikke verificere autenciteten af gem-svaret."
"this invoice was captured by AfterPay.","Fakturaen blev gemt af AfterPay."
"AfterPay is currently unable to capture this invoice.","AfterPay kan i øjeblikket ikke gemme fakturaen."
"Unable to capture this invoice, due to one or more values being incorrect.","Kan ikke gemme fakturaen, da en eller flere værdier er forkerte."
"A technical error occurred whilst trying to capture this invoice","Der opstod en teknisk fejl under forsøget på at gemme fakturaen."
"This order has been refunded by AfterPay","Ordren er blevet tilbagebetalt af AfterPay."
"Unable to accept refund.","Kan ikke acceptere tilbagebetalingen."
"AfterPay refund attempt has failed","AfterPays forsøg på tilbagebetaling mislykkedes"
"Could not verify the authenticity of the refund response.","Kunne ikke verificere autenciteten af tilbagebetalingssvaret."
"Please enter a housenumber.","Angiv et husnummer."
"The date of birth is missing invalid. Please check your date or birth or contact our customer service.","Fødselsdatoen mangler eller er ugyldig. Kontroller fødselsdatoen, eller kontakt kundeservice."
"Refund to store credits or reward points is not possible, using AfterPay online refund. First do an offline refund for the desired amount to credit / award points. Then do an online AfterPay refund for the remaining amount, if applicable.","Det er ikke muligt at tilbagebetale til kredit i butik eller reward-point ved hjælp af AfterPays onlinetilbagebetaling. Du skal først foretage en offline-tilbagebetaling på det ønskede beløb til kredit/reward-point. Derpå skal du foretage en onlinetilbagebetaling via AfterPay for det resterende beløb, om nødvendigt."

"Show advanced settings","Vis avancerede indstillinger"
"Select Yes to show advanced settings","Vælg Ja for at få vist avancerede indstillinger"

"Correction","Rettelse"
"Shippingcost","Forsendelsesomkostninger"
"Service fee","Servicegebyr"
"Giftwrapping","Gaveindpakning"
"Giftwrapping printed card", "Gaveindpakning, trykt kort"
"Giftcard","Gavekort"
"Storecredits","Kredit i butik"
"Discount","Rabat"
"Refund","Tilbagebetaling"
"Reward points","Reward-point"

"NL - Digital Invoice","NL - digital faktura"
"NL - Direct Debit","NL - direkte debitering"
"NL - Digital Invoice for B2B","NL - digital faktura til B2B"
"BE - Digital Invoice","BE - digital faktura"
"DE - Digital Invoice","DE - digital faktura"
"AT - Digital Invoice","AT - digital faktura"
"CH - Digital Invoice","CH - digital faktura"
"SE - Digital Invoice","SE - digital faktura"
"FI - Digital Invoice","FI - digital faktura"
"NO - Digital Invoice","NO - digital faktura"
"DK - Digital Invoice","DK - digital faktura"

"Frontend","Frontend"
"Backend","Backend"
"Both","Begge"

"Mobile Phone number does not pass validation","Mobiltelefonnummeret bestod ikke valideringen"
