"General Settings","Allgemeine Einstellungen"
"Define which client groups are allowed to make use of this portfolio.","Bestimmt, welche spezifischen Kundengruppen dieses Protfolio nutzen dürfen"
"Only available if 'Allowed Client groups' is set to 'specific client groups'.","Nur verfügbar, wenn 'Freigegebene Kundengruppen' auf spezifische Kundegruppen' gesetzt wurde"
"All allowed client groups","Alle freigegebenen Kundengruppen"
"Not allowed by shipping methods", "Nicht zugelassen bei Versandmethoden"
"Select all the shipping methods where the Riverty module should NOT be allowed for.", "Wähle alle Versandmethoden, bei denen die Zahlung über Riverty NICHT erlaubt ist."
"Use CTRL + mouseclick to select multiple entries.","Drücke CTRL + Mausklick um mehrere Einträge auszuwählen."
"Sort order","Sortierreihenfolge"
"This value will determine in what order the portfolio's will appear to the customer","Dieser Wert gibt an, in welcher Reihenfolge die Portfolios dem Kunden angezeigt werden."

"Capture Settings","Einstellungen der zur Rechnungserfassung"
"Capture Mode","Modus der Rechnungserfassung"
"Disabled", "Deaktiviert"
"Automatic", "Automatisch"
"Manual", "Manuell"
"Select whether AfterPay will automatically attempt to capture the order or if the module should manually attempt to capture the order.","Auswahl: Soll AfterPay automatisch versuchen die Bestellung zu erfassen, oder soll die Bestellung manuell erfasst werden."
"Status Capture Request Accepted","Status Erfassen: Anfrage akzeptiert."
"Status Capture Request Refused","Status Erfassen: Anfrage abgelehnt."

"Refund Settings","Einstellungen zur Rechnungserstattung"
"Enable refunding","Aktiviere Erstattungen"
"If you set this to 'No', you will only ber able to perform offline refunds on AfterPay transactions","Wenn NEIN ausgewählt, ist nur eine Offline-Erstattung für AfterPay Transaktionen möglich."

"Gender:","Geschlecht:"
"Please select.","Bitte wählen"
"Male","Mann"
"Female","Frau"
"Date of Birth","Geburtsdatum"
"YYYY","JJJJ"
"Bank account number:","Kontonummer"
"Company name:","Firmenname"
"Coc number:","COC-Nummer"
"E-mail:","E-mail"
"Phone number", "Telefonnummer"

"Unable to capture this invoice","Erfassen der Rechnung nicht möglich."
"Can only capture full invoices. Partial invoices cannot be captured by AfterPay.","Es kann nur der volle Rechnungsbetrag von AfterPay erfasst werden. Teilbeträge können nicht erfasst werden."
"Tax classes may not be selected for more than 1 VAT group","Steuerklassen können nicht für mehr als eine Umsatzsteuergruppe ausgewählt werden"
"You cannot refund a larger amount than is available. Maximum Payment Fee available for refund: ","Der Erstattungsbetrag kann den Rechnungsbetrag nicht übersteigen. Maximale Zahlungsgebühr für Erstattungen: "
"An error occurred while processing your refund request: ","Während der Bearbeitung der Erstattung ist ein Fehler aufgetreten: "
"An error occurred while processing your refund request.","Während der Bearbeitung der Erstattung ist ein Fehler aufgetreten"
"Refund action is not available.","Erstattungen nicht verfügbar"
"An error occurred while processing your refund request: ","Während der Bearbeitung der Erstattung ist ein Fehler aufgetreten: "
"An error occurred while processing your refund request.","Während der Bearbeitung der Erstattung ist ein Fehler aufgetreten."
"Did not recognize tax class for class ID: ","Die Steuerklasse konnte keiner class ID zugeordnet werden: "
"This order has already been captured by AfterPay.","Diese Bestellung wurde bereits von AfterPay erfasst."
"Online refunding is disabled. Please us offline refunding or enable online refunding in the config.","Online-Erstattungen sind nicht freigeschaltet. Bitte nutz die Offline-Erstattung oder aktiviere den Online-Modus"
"This order has not yet been captured by AfterPay.","Diese Bestellung wurde noch nicht von AfterPay erfasst."
"No response was available","Keine Antwort."
"Your order has been placed succesfully.","Deine Bestellung wurde erfolgreich abgeschlossen."
"Your order was unsuccesful. Please try again or choose another payment method.","Während der Bestellung ist ein Fehler aufgetreten. Bitte versuche es erneut mit einer anderen Zahlmethode"
"This order is awaiting final approval. You will receive an update regarding the status of this order shortly. If you do not receive an update about the status of this order, please contact the webshop's owner.","Die Bestellung muss noch endgültig bestätigt werden. Sobald die Bestellung abgeschlossen ist, erhältst du ein Statusupdate. Wenn du kein Update erhältst, wende dich bitte an den Betreiber des Shops."
"This order has been rejected. You can attempt to process the order using a risk portfolio by using the re-order button","Die Bestellung wurde abgelehnt. Du kannst versuchen, erneut zu bestellen."
"A technical error has occurred. Please try again. If this problem persists, please contact the shop owner.","Es ist ein technisches Problem aufgetreten. Bitte versuche es nocheinmal. Wenn dieses Problem erneut auftritt, kontaktiere bitte den Betreiber des Online-Shops."
"Your order has been placed succesfully. You will recieve an e-mail containing further payment instructions shortly.","Deine Bestellung wurde erfolgreich abgeschlossen. Du erhältst in Kürze eine E-Mail mit weiteren Zahlungshinweisen."
"One or more fields you have entered appear to be incorrect. Please check all values entered and try again.","Nicht alle Angaben sind korrekt. Bitte überprüfe deine Einträge und versuche es erneut."
"A technical error has occurred. Please contact the shop owner.","Es ist ein technisches Problem aufgetreten. Bitte kontaktieren den Betreiber des Online-Shops."
"This order has been accepted by AfterPay.","Deine Bestellung wurde von AfterPay bestätigt."
"This order has been captured by AfterPay","Deine Bestellung wurde von AfterPay erfasst."
"AfterPay is currently unable to capture this invoice.","AfterPay ist es momentan nicht möglich, diese Rechnung zu erfassen."
"AfterPay capture attempt has failed","Der Versuch, die Forderung mit AfterPay zu erfassen, ist fehlgeschlagen."
"AfterPay capture attempt has failed","Der Versuch, die Forderung mit AfterPay zu erfassen, ist fehlgeschlagen."
"Could not verify the authenticity of the capture response.","Die Authentifizierung der Response-Nachricht konnte nicht verifiziert werden."
"this invoice was captured by AfterPay.","Diese Rechnung wurde von AfterPay erfasst."
"AfterPay is currently unable to capture this invoice.","AfterPay ist es momentan nicht möglich diese Rechnung zu erfassen."
"Unable to capture this invoice, due to one or more values being incorrect.","Erfassung der Rechnung fehlgeschlagen, eine oder mehrere Angaben scheinen nicht korrekt zu sein."
"A technical error occurred whilst trying to capture this invoice","Während des Erfassens ist ein technischer Fehler aufgetreten."
"This order has been refunded by AfterPay","Diese Rechnung wurde von AfterPay erstattet."
"Unable to accept refund.","Erstattung konnte nicht durchgeführt werden."
"AfterPay refund attempt has failed","AfterPay Erstattung fehlgeschlagen"
"Could not verify the authenticity of the refund response.","Die Authentifizierung der Erstattung konnte nicht verifiziert werden"
"Please enter a housenumber.","Bitte gib eine Hausnummer an."
"The date of birth is missing invalid. Please check your date or birth or contact our customer service.","Die Angaben zum Geburtsdatum sind unvollstädnig oder inkorrekt. Bitte überprüfe deine Angaben oder kontaktiere den Kundenservice."
"Refund to store credits or reward points is not possible, using AfterPay online refund. First do an offline refund for the desired amount to credit / award points. Then do an online AfterPay refund for the remaining amount, if applicable.","Eine Rückerstattung gegen Store Credits oder Bonuspunkte ist mit der AfterPay Online-Erstattung leider nicht möglich. Führe bitte zuerst eine Offline-Erstattung durch. Dann führe für den Restbetrag, wenn möglich, eine Online-Erstattung durch."

"Show advanced settings","Show advanced settings"
"Select Yes to show advanced settings","Select Yes to show advanced settings"

"Correction","Korrektur"
"Shippingcost","Versandkosten"
"Service fee","Servicegebühren"
"Giftwrapping","Geschenkverpackung"
"Giftwrapping printed card", "Geschenkverpackung"
"Giftcard","Geschenkkarte"
"Storecredits","Gutschein"
"Discount","Rabatt"
"Refund","Gutschrift"
"Reward points","Bonuspunkte"

"NL - Digital Invoice","Niederlande - Rechnung"
"NL - Direct Debit","Niederlande - Lastschrift"
"NL - Digital Invoice for B2B","Niederlande - Rechnung für Unternehmen"
"BE - Digital Invoice","Belgien - Rechnung"
"DE - Digital Invoice","Deutschland - Rechnung"
"DE - Direct Debit","Deutschland - Lastschrift"
"DE - Installments","Deutschland - Ratenzahlung"
"AT - Digital Invoice","Österreich - Rechnung"
"AT - Direct Debit","Österreich - Lastschrift"
"AT - Installments","Österreich - Ratenzahlung"
"CH - Digital Invoice","Schweiz - Rechnung"
"SE - Digital Invoice","Schweden - Rechnung"
"SE - Installments","Schweden - Ratenzahlung"
"FI - Digital Invoice","Finnland - Rechnung"
"FI - Installments","Finnland - Ratenzahlung"
"NO - Digital Invoice","Norwegen - Rechnung"
"NO - Installments","Norwegen - Ratenzahlung"
"DK - Digital Invoice","Dänemark - Rechnung"
"DK - Installments","Dänemark - Ratenzahlung"

"Frontend","Fontend"
"Backend","Backend"
"Both","Beide"

"Mobile Phone number does not pass validation","Die Telefonnummer ist nicht gültig, bitte überprüfe Deine Angabe"

"Total without interest:","Gesamtbetrag ohne Zinsen:"
"%s per month in %s installments","%s pro Monat in %s Raten"
"Same amount every month, no surprises","Jeden Monat dieselbe Rate, keine Überraschungen"
"You can pay the total balance at anytime you want","Du kannst jederzeit den Restbetrag überweisen"
"Fix interest rate of: %s","Nominalzinssatz p.a.: %s"
"Effective interest rate of: %s","Effektiver Jahreszins: %s"
"Total cost of: %s","Gesamtbetrag: %s"
