"General Settings","Generelle innstillinger"
"Show phone number input field","Vis inntastingsfelt for telefonnummer"
"Select Yes to show the phone number input field.","Velg Ja for å vise inntastingsfelt for telefonnummer"
"Show date of birth input field","Vis fødselsdato-felt"
"Select Yes to show the date of birth input field.","Velg Ja for å vise fødselsdatoens inntastingsfelt."
"Show terms and conditions checkbox","Vis vilkår og betingelser i avkrysningsruten"
"Select Yes to show the terms and conditions checkbox.","Velg Ja for å vise vilkår og betingelser i boksen."
"Portfolio area","Porteføljeområdet"
"Select where the portfolio will be available","Velg hvor porteføljen vil være tilgjengelig"
"Portfolio label","Porteføljeetikett"
"The label shown on the frontend","Etiketten vist på frontend"
"Portfolio footnote","Portefølje fotnote"
"Shown after label","Vist etter etikett"
"Portfolio extended information","Utvidet informasjon om portefølje"
"Extended information about the Riverty Payment Method which for example will be included in transactional emails.","Utvidet informasjon om Riverty betalingsmetode, som for eksempel vil bli inkludert i transaksjonsmeldinger på e-post."
"Minimal Amount","Minimumsbeløp"
"No value will allow all","Ingen verdi tillater alt"
"Maximum Amount","Maksimumbeløp"
"Maximum Amount for New Riverty Customers","Maksimumbeløp for nye Riverty-kunder"
"N.B. This value does not influence whether or not this portfolio is available. This is only used as a label!","NB Denne verdien påvirker ikke hvorvidt denne porteføljen er tilgjengelig. Dette brukes kun som en etikett!"
"Status Accepted No Invoice","Status akseptert - ingen faktura"
"New is the default state for a new order without invoice.","'Ny' er standardstatus for en ny ordre uten faktura."
"For administrative purposes a new status can be created connected to new.","En ny status knyttet til 'Ny' kan opprettes for administrative formål."
"Status Pending","Avventer status"
"Pending is the default state for a new order.","'Venter' er standardstatus for en ny ordre."
"Status Accepted","Status akseptert"
"Processing is the default state for an order with an invoice or a shipment.","'Under behandling' er standardstatus for en bestilling med en faktura eller i forsendelse."
"For administrative purposes a new status can be created connected to processing.","En ny status knyttet til 'Under behandling' kan opprettes for administrative formål ."
"Status Refused","Status ikke godkjent"
"Canceled is the default state for an unprocessed order terminated.","'Avbrutt' er standardstatus for en ubehandlet ordre som blir avsluttet."
"Allowed Countries","Tillatte land"
"Payment from Specific Country","Betaling fra bestemt land"
"Only available if 'Payment from applicable countries' is set to 'specific countries'.","Kun tilgjengelig dersom 'Betaling fra gjeldende land' er satt til 'spesifikke land'."
"Allowed Client groups","Tillatte klientgrupper"
"Select whether all customers may make use of this payment option, or only customers from specific customer groups.","Velg om alle kunder skal kunne benytte seg av dette betalingsalternativet, eller bare kunder fra spesifikke kundegrupper."
"Specific client groups","Spesifikke klientgrupper"
"Define which client groups are allowed to make use of this portfolio.","Definer hvilke klientgrupper som har tillatelse til å benytte seg av denne porteføljen."
"Only available if 'Allowed Client groups' is set to 'specific client groups'.","Kun tilgjengelig hvis 'Tillatte klientgrupper' er satt til 'bestemte klientgrupper'."
"All allowed client groups","Alle tillatte klientgrupper"
"Not allowed by shipping methods","Ikke tillatt ved valgt fraktmetode"
"Select all the shipping methods where the Riverty module should NOT be allowed for.","Velg alle leveringssmetodene der Riverty-modulen IKKE skal tillates."
"Use CTRL + mouseclick to select multiple entries.","Bruk CTRL + museklikk for å velge flere oppføringer samtidig"
"Sort order","Sorteringsrekkefølge"
"This value will determine in what order the portfolio's will appear to the customer","Denne verdien avgjør hvilken rekkefølge porteføljen skal vises til kunden"

"Capture Settings","Capture Innstillinger"
"Capture Mode","Capture modus"
"Disabled","Deaktivert"
"Automatic","Automatisk"
"Manual","Manual"
"Select whether AfterPay will automatically attempt to capture the order or if the module should manually attempt to capture the order.","Velg om AfterPay skal forsøke å ta opp bestillingen automatisk, eller om modulen manuelt skal forsøke å ta opp bestillingen."
"Status Capture Request Accepted","Status Capture Request akseptert"
"Status Capture Request Refused","Status Capture Request nektet"

"Refund Settings","Instillinger for tilbakebetaling"
"Enable refunding","Aktiver tilbakebetaling"
"If you set this to 'No', you will only ber able to perform offline refunds on AfterPay transactions","Hvis du angir parameter til 'Nei', vil du bare kunne utføre offline tilbakebetalinger på AfterPay-transaksjoner"

"Gender:","Kjønn:"
"Please select.","Vennligst velg."
"Male","Mann"
"Female","Kvinne"
"Date of Birth","Fødselsdato"
"YYYY","ÅÅÅÅ"
"Bank account number:","Bankkontonummer:"
"Company name:","Firmanavn:"
"Coc number:","Coc nummer:"
"E-mail:","E-post:"
"Phone number","Telefonnummer"

"Unable to capture this invoice","Kan ikke registrere denne fakturaen"
"Can only capture full invoices. Partial invoices cannot be captured by AfterPay.","Kan bare registrere fullstendige fakturaer. Ufullstendige fakturaer registreres ikke av AfterPay."
"Tax classes may not be selected for more than 1 VAT group","Skatteklasser kan ikke velges for mer enn 1 MVA-gruppe"
"You cannot refund a larger amount than is available. Maximum Payment Fee available for refund: ","Du kan ikke refundere et større beløp enn det som er tilgjengelig. Maxbeløp tilgjengelig for tilbakebetaling: "
"An error occurred while processing your refund request: ","Det oppstod en feil under behandlingen av tilbakebetalingsanmodningen: "
"Refund action is not available.","Tilbakebetaling er ikke tilgjengelig."
"Did not recognize tax class for class ID: ","Ikke gjenkjent skatteklasse for klassen ID:"
"This order has already been captured by AfterPay.","Denne bestillingen er allerede registrert av AfterPay."
"Online refunding is disabled. Please us offline refunding or enable online refunding in the config.","Online refusjon er deaktivert. Vennligst bruk offline tilbakebetaling eller aktiver online tilbakebetaling i konfigurasjonen"
"This order has not yet been captured by AfterPay.","Denne bestillingen har ennå ikke blitt registrert av AfterPay."
"No response was available","Ingen respons tilgjengelig"
"Your order has been placed succesfully.","Din bestilling var vellykket."
"Your order was unsuccesful. Please try again or choose another payment method.","Din bestilling var ikke vellykket. Vennligst prøv igjen eller velg en annen betalingsmetode."
"This order is awaiting final approval. You will receive an update regarding the status of this order shortly. If you do not receive an update about the status of this order, please contact the webshop's owner.","Denne bestillingen venter på endelig godkjenning. Du vil snart motta en oppdatering angående statusen på bestillingen. Hvis du ikke mottar en oppdatering om statusen på bestillingen kan du kontakte nettbutikkens eier."
"This order has been rejected. You can attempt to process the order using a risk portfolio by using the re-order button","Denne bestillingen er avvist. Du kan forsøke å på nytt ved hjelp av en risikoportefølje ved å bruke ombestillingsknappen."
"A technical error has occurred. Please try again. If this problem persists, please contact the shop owner.","Det har oppstått en teknisk feil. Vær så snill og prøv på nytt. Hvis dette problemet vedvarer, vennligst kontakt nettbutikken"
"Your order has been placed succesfully. You will recieve an e-mail containing further payment instructions shortly.","Din bestilling var vellykket. Du mottar en e-post som inneholder ytterligere betalingsanvisninger innen kort tid."
"One or more fields you have entered appear to be incorrect. Please check all values entered and try again.","Ett eller flere felt du har tastet inn ser ut til å være feil. Vennligst sjekk alle verdiene som er angitt og prøv igjen."
"A technical error has occurred. Please contact the shop owner.","Det har oppstått en teknisk feil. Ta kontakt med nettbutikken"
"This order has been accepted by AfterPay.","Denne bestillingen er akseptert av AfterPay."
"This order has been captured by AfterPay","Denne bestillingen er registrert av AfterPay"
"AfterPay is currently unable to capture this invoice.","AfterPay kan for øyeblikket ikke finne denne fakturaen."
"AfterPay capture attempt has failed","AfterPay-capture forsøk har feilet"
"Could not verify the authenticity of the capture response.","Kunne ikke bekrefte autentisiteten til capture-responsen"
"this invoice was captured by AfterPay.","Denne fakturaen er registrert av AfterPay."
"AfterPay is currently unable to capture this invoice.","AfterPay kan for øyeblikket ikke registrere denne fakturaen."
"Unable to capture this invoice, due to one or more values being incorrect.","Kan ikke registrere denne fakturaen, fordi en eller flere verdier er feil."
"A technical error occurred whilst trying to capture this invoice","Det oppstod en teknisk feil under forsøket å registrere denne fakturaen"
"This order has been refunded by AfterPay","Denne bestillingen har blitt refundert av AfterPay"
"Unable to accept refund.","Kan ikke godta tilbakebetaling."
"AfterPay refund attempt has failed","AfterPay tilbakebetalingsforsøk har mislyktes"
"Could not verify the authenticity of the refund response.","Kunne ikke verifisere om tilbakebetalingsresponsen var ekte"
"Please enter a housenumber.","Vennligst skriv inn et husnummer."
"The date of birth is missing invalid. Please check your date or birth or contact our customer service.","Fødselsdatoen er ugyldig. Vennligst sjekk fødselsdato eller kontakt vår kundeservice."
"Refund to store credits or reward points is not possible, using AfterPay online refund. First do an offline refund for the desired amount to credit / award points. Then do an online AfterPay refund for the remaining amount, if applicable.","Tilbakebetaling i store credits eller poeng er ikke mulig ved bruk av AfterPay tilbakebetaling. Gjør først en offline tilbakebetaling  for ønsket beløp til store credit / poeng. Deretter gjør du en online AfterPay-tilbakebetaling for gjenværende beløp, hvis det er aktuelt."

"Correction","Korreksjon"
"Shippingcost","Fraktkostnad"
"Service fee","Serviceavgift"
"Giftwrapping","Gavepakning"
"Giftwrapping printed card","Gavekort i Gavepakning"
"Giftcard","Gavekort"
"Storecredits","Storecredits"
"Discount","Rabatt"
"Refund","Refusjon"
"Reward points","Bonuspoeng"

"NL - Digital Invoice","Nederland - Digital faktura"
"NL - Direct Debit","Nederland - Direkte debitering"
"NL - Digital Invoice for B2B","Nederland - Digital faktura for B2B"
"BE - Digital Invoice","Belgia - Digital faktura"
"DE - Digital Invoice","Tyskland - Digital faktura"
"AT - Digital Invoice","Østerrike - Digital faktura"
"CH - Digital Invoice","Sveits - Digital faktura"
"SE - Digital Invoice","Sverige - Digital faktura"
"FI - Digital Invoice","Finland - Digital faktura"
"NO - Digital Invoice","Norge - Digital faktura"
"DK - Digital Invoice","Danmark - Digital faktura"

"Frontend","Frontend"
"Backend","Backend"
"Both","Begge"
