"General Settings","Algemene Instellingen"
"Tax classes may not be selected for more than 1 VAT group","Belasting groepen mogen aan slechts 1 BTW groep toegekend worden."
"You cannot refund a larger amount than is available. Maximum Payment Fee available for refund: ","Het is niet mogelijk om een groter bedrag terug te betalen dan beschikbaar is. Maximale servicekosten bedrag beschikbaar: "
"An error occurred while processing your refund request: ","Er is een fout opgetreden tijdens de verwerking van deze bestelling: "
"An error occurred while processing your refund request.","Er is een fout opgetreden tijdens de verwerking van deze bestelling."
"Refund action is not available.","Terugbetalen is niet mogelijk."
"An error occurred while processing your refund request: ","Er is een fout opgetreden tijdens de verwerking van de terugbetaling: "
"An error occurred while processing your refund request.","Er is een fout opgetreden tijdens de verwerking van de terugbetaling."
"Did not recognize tax class for class ID: ","De BTW groep voor deze belastinggroep werd niet herkend: "
"This order has already been captured by AfterPay.","Deze bestelling is al gecapturet door AfterPay."
"Online refunding is disabled. Please us offline refunding or enable online refunding in the config.","Online terugbetalen is gedeactiveerd. Probeer een offline terugbetaling of activeer online terugbetalen in de configuratie."
"This order has not yet been captured by AfterPay.","Deze betselling is nog niet gecapturet door AfterPay."
"No response was available","Geen antwoord ontvangen van AfterPay"
"Your order has been placed succesfully.","Uw bestelling is succesvol ontvangen"
"Your order was unsuccesful. Please try again or choose another payment method.","Uw bestelling was onsuccesvol. Probeer het s.v.p. opnieuw of kies een andere betaalmethode."
"This order is awaiting final approval. You will receive an update regarding the status of this order shortly. If you do not receive an update about the status of this order, please contact the webshop's owner.","Deze bestelling wacht op goedkeuring. U ontvangt binnenkort een update met betrekking tot deze bestelling. Indien u geen bericht ontvangt, neem dan s.v.p. contact op met de webshop eigenaar."
"This order has been rejected. You can attempt to process the order using a risk portfolio by using the re-order button","Deze bestelling is afgekeurd. U kunt de bestelling opneiwu proberen door op de 'reorder' knop te klikken."
"A technical error has occurred. Please try again. If this problem persists, please contact the shop owner.","Er is een technische fout opgetreden. Als deze fout zich blijft voordoen, neem dan s.v.p. contact op met de webshop."
"Your order has been placed succesfully. You will recieve an e-mail containing further payment instructions shortly.","Uw bestelling is geplaatst. U zult binnenkort verder bericht krijgen over hoe u de betaling kunt voldoen."
"One or more fields you have entered appear to be incorrect. Please check all values entered and try again.","Eén of meerdere velden die u heeft ingevuld, zijn incorrect. Controleer s.v.p. uw gegevens en probeer het nog eens."
"A technical error has occurred. Please contact the shop owner.","Er is een technische fout opgetreden. Neem s.v.p. contact op met de webwinkeleigenaar."
"This order has been accepted by AfterPay.","Deze bestelling is geaccepteerd door AfterPay."
"This order has been captured by AfterPay","Het capture verzoek is door AfterPay geaccepteerd."
"AfterPay is currently unable to capture this invoice.","Het is momenteel niet mogelijk om deze factuur te capturen"
"AfterPay capture attempt has failed","Het capture verzoek is door AfterPay geweigerd."
"AfterPay capture attempt has failed","Het capture verzoek is gefaald."
"Could not verify the authenticity of the capture response.","De authenticiteit van het antwoord op het capture verzoek kon niet bevestigd worden."
"this invoice was captured by AfterPay.","Het capture verzoek is door AfterPay geaccepteerd."
"AfterPay is currently unable to capture this invoice.","Het is momenteel niet mogelijk om deze factuur te capturen."
"Unable to capture this invoice, due to one or more values being incorrect.","Het capture verzoek is afgewezen, omdat één of meerdere velden incorrect zijn."
"A technical error occurred whilst trying to capture this invoice","Er is een technische fout opgetreden tijdens het verwerken van het capture verzoek."
"This order has been refunded by AfterPay","Deze bestelling is terugbetaald door AfterPay."
"Unable to accept refund.","Niet mogelijk om de bestelling terug te betalen."
"AfterPay refund attempt has failed","AfterPay terugbetalingsverzoek is gefaald."
"Could not verify the authenticity of the refund response.","Kon de authenticiteit van het antwoord op het terugbetalingsverzoek van AfterPay niet bevestigen."
"Please enter a housenumber.","Vul s.v.p. een huisnummer in."
"The date of birth is missing invalid. Please check your date or birth or contact our customer service.","De geboortedatum mist of is ongeldig. Controleer uw geboortedatum of neem contact op met onze klantenservice"
"Refund to store credits or reward points is not possible, using AfterPay online refund. First do an offline refund for the desired amount to credit / award points. Then do an online AfterPay refund for the remaining amount, if applicable.","Een creditering naar winkeltegoed of spaarpunten is niet mogelijk i.c.m. een AfterPay (online) terugbetaling. Doe eerst een handmatige (offline) terugbetaling voor het bedrag dat u wilt terugboeken naar winkeltegoed / spaarpunten. Indien nodig, doe daarna een (online) terugboeking voor het resterende bedrag."
"Correction","Correctie"
"Shippingcost","Verzendkosten"
"Service fee","Servicekosten"
"Giftwrapping","Cadeauverpakking"
"Giftwrapping printed card", "Cadeauverpakking"
"Giftcard","Cadeaukaart"
"Storecredits","Winkelkrediet"
"Discount","Korting"
"Refund","Terugbetaling"
"Reward points","Spaarpunten"
"NL - Digital Invoice","Nederland - Digitale factuur"
"NL - Direct Debit","Nederland - Eenmalige machtiging"
"NL - Digital Invoice for B2B","Nederland - Digitale factuur voor bedrijven"
"BE - Digital Invoice","België - Digitale factuur"
"DE - Digital Invoice","Duitsland - Digitale factuur"
"DE - Direct Debit","Duitsland - Eenmalige machtiging"
"DE - Installments","Duitsland - Gespreid betalen"
"AT - Digital Invoice","Oostenrijk - Digitale factuur"
"AT - Direct Debit","Oostenrijk - Eenmalige machtiging"
"AT - Installments","Oostenrijk - Gespreid betalen"
"CH - Digital Invoice","Zwitserland - Digitale factuur"
"SE - Digital Invoice","Zweden - Digitale factuur"
"SE - Installments","Zweden - Gespreid betalen"
"FI - Digital Invoice","Finland - Digitale factuur"
"FI - Installments","Finland - Gespreid betalen"
"NO - Digital Invoice","Noorwegen - Digitale factuur"
"NO - Installments","Noorwegen - Gespreid betalen"
"DK - Digital Invoice","Denemarken - Digitale factuur"
"DK - Installments","Denemarken - Gespreid betalen"
"Frontend","Frontend"
"Backend","Backend"
"Both","Beide"
"<strong>Do you want to offer this or other AfterPay payment methods to your customers? Contact your AfterPay account manager.</strong><br/><br/>","<strong>Wilt u deze of andere AfterPay betaalmethodes aanbieden aan uw klanten? Neem dan contact op met uw AfterPay account manager.</strong><br/><br/>"
